"GeForce FX 5800",19.47,"2003-01-27","",0.0
"GeForce 6800 Ultra",54.0,"2004-06-28","",120.0
"GeForce 7800 GTX",165.0,"2005-06-22","",160.0
"GeForce 8800 GTX",518.0,"2006-11-08","",0.0
"GeForce GTX 280",933.12,"2008-06-16","",0.0
"GeForce GTX 480",1345.0,"2010-03-26","",0.0
"GeForce GTX 580",1581.056,"2010-11-09","",0.0
"GeForce GTX 680",3090.432,"2012-03-22","",0.0
"GeForce GTX TITAN",4499.712,"2013-02-19","",0.0
"GeForce GTX 780 TI",5046.0,"2013-11-07","",0.0
"K80",5600.0,"2014-11-17","",0.0
